/sentences,,,,,,
/sentence/@id,/sentence/#id,/sentence/aspectTerms/aspectTerm/@from,/sentence/aspectTerms/aspectTerm/@polarity,/sentence/aspectTerms/aspectTerm/@term,/sentence/aspectTerms/aspectTerm/@to,/sentence/text
1270,56,,,,,Dell wanted to charge us for everything everytime I called them with a problem.
1834,57,,,,,THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT.
2451,58,31,positive,features,39,Im glad that it has such great features in it.
605,59,,,,,it's just a great toy to have around.
1900,60,,,,,When this happened I would have to completely power off my computer and restart it.
2871,61,98,positive,performance,109,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.
844,62,,,,,"I asked how they would determine that since there are no scratches, dents or other signs of damage and was told that was the only way this type of damage could happen."
1634,63,,,,,I had finally reached my limit and broke down.
200,64,,,,,and dell and best buy both refused to take it back after i only had it for 1 hour....
416,65,,,,,"I burned my leg, after lifting it from my desk, and for less than 5 second putting it on my lap to clean my coffee table, so I can place it there."
68,66,,,,,and its really cheap and you wont regret buying it.
2746,67,,,,,It was over rated!
282,68,,,,,I dont understand how anyone can think this is a great product worth purchasing.
1532,69,63,neutral,GarageBand,73,My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.
2238,70,128,negative,price,133,and looks very sexyy:D really the mac book pro is the best laptop specially for students in college if you are not caring about price.
692,71,,,,,They definitely have a superior product!
78,72,,,,,This is a great laptop and I would recommend it to anyone.
2245,73,,,,,It is very user friendly and not hard to figure out at all.
415,74,,,,,"They are wonderful, but very dangerous when it comes to emitting heat."
2710,75,,,,,Came fully loaded -good.
1671,76,,,,,"It super shiny, so you can see the fingerprints easily."
2703,77,,,,,It's a great prodcut to handle basic computing needs.
66,78,,,,,the laptop was really good and it goes really fast just the way i thought it would of run.
285,79,,,,,It doesnt work worth a damn.
1609,80,,,,,It was definelty a smart move.
2661,81,,,,,"Overall though, for the money spent it's a great deal."
1577,82,,,,,"A little pricey but it is well, well worth it."
1287,83,,,,,It is meant to be PORTABLE.
2523,84,,,,,I am totally satisfied with my little toshie!
2785,85,10,negative,extended warranty,27,"Also, the extended warranty was a problem."
832,86,87,negative,support,94,"My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge."
2037,87,,,,,I waited and waited and no laptop.
1429,88,,,,,Everything is falling apart internally and externally.
2130,89,17,positive,glass screen,29,I also liked the glass screen.
1446,90,136,negative,technical support,153,"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support."
2259,91,,,,,"I can actually get work done with this MAC, and not fight with it like my tired old PC laptop."
2695,92,,,,,"If you're not wanting to be mobile, this is a good laptop to sit on a desk."
1506,93,,,,,I also travel with it and it never gives me any problems.
3047,94,15,negative,staff,20,"(Beware, their staff could send you back making you feel that only they know what a computer is."
1042,95,,,,,Other Thoughts: Do not purchase this product.
2151,96,,,,,The computer was delivered as promised.
1732,97,74,negative,programs,82,The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.
1063,98,0,positive,Wireless,8,"Wireless has not been a issue for me, like some others have meantioned."
271,99,57,negative,battery life,69,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede."
271,99,91,negative,background programs,110,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede."
1674,100,21,positive,price,26,All for such a great price.
