/sentences,,,,,,,,
/sentence/@id,/sentence/#id,/sentence/aspectCategories/aspectCategory/@category,/sentence/aspectCategories/aspectCategory/@polarity,/sentence/aspectTerms/aspectTerm/@from,/sentence/aspectTerms/aspectTerm/@polarity,/sentence/aspectTerms/aspectTerm/@term,/sentence/aspectTerms/aspectTerm/@to,/sentence/text
1407,27,ambience,negative,,,,,The seats are uncomfortable if you are sitting against the wall on wooden benches.
1407,27,,,4,negative,seats,9,The seats are uncomfortable if you are sitting against the wall on wooden benches.
565,28,food,neutral,,,,,"I asked for seltzer with lime, no ice."
565,28,,,12,neutral,seltzer with lime,29,"I asked for seltzer with lime, no ice."
387,29,price,positive,,,,,It was pretty inexpensive too.
1314,30,anecdotes/miscellaneous,negative,,,,,Will not be back.
675,31,food,positive,,,,,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
675,31,,,77,positive,pickles,84,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
675,31,,,91,positive,selection of meats and seafoods,122,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
2227,32,food,neutral,,,,,My suggestion is to eat family style because you'll want to try the other dishes.
2227,32,,,74,neutral,dishes,80,My suggestion is to eat family style because you'll want to try the other dishes.
2227,32,,,20,positive,eat family style,36,My suggestion is to eat family style because you'll want to try the other dishes.
3367,33,service,positive,,,,,"Best of all is the warm vibe, the owner is super friendly and service is fast."
3367,33,ambience,positive,,,,,"Best of all is the warm vibe, the owner is super friendly and service is fast."
3367,33,,,24,positive,vibe,28,"Best of all is the warm vibe, the owner is super friendly and service is fast."
3367,33,,,34,positive,owner,39,"Best of all is the warm vibe, the owner is super friendly and service is fast."
3367,33,,,62,positive,service,69,"Best of all is the warm vibe, the owner is super friendly and service is fast."
1210,34,price,negative,,,,,This isn't a value joint.
2191,35,anecdotes/miscellaneous,positive,,,,,Faan's got a great concept but a little rough on the delivery.
2191,35,service,negative,,,,,Faan's got a great concept but a little rough on the delivery.
2191,35,,,53,negative,delivery,61,Faan's got a great concept but a little rough on the delivery.
270,36,food,positive,,,,,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
270,36,service,positive,,,,,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
270,36,ambience,positive,,,,,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
270,36,,,20,positive,food,24,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
270,36,,,38,positive,atmosphere,48,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
270,36,,,66,positive,service,73,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
638,37,food,positive,,,,,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
638,37,price,positive,,,,,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
638,37,,,6,positive,food,10,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
638,37,,,25,positive,prices,31,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
500,38,anecdotes/miscellaneous,positive,,,,,Look foward to trying the Ruben upon returning.
1108,39,anecdotes/miscellaneous,neutral,,,,,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
3294,40,anecdotes/miscellaneous,neutral,,,,,We usually go to the Chart House to celebrate a birthday or anniversary.
388,41,ambience,positive,,,,,this little place has a cute interior decor and affordable city prices.
388,41,price,positive,,,,,this little place has a cute interior decor and affordable city prices.
388,41,,,29,positive,interior decor,43,this little place has a cute interior decor and affordable city prices.
388,41,,,64,positive,prices,70,this little place has a cute interior decor and affordable city prices.
3070,42,anecdotes/miscellaneous,positive,,,,,You'll adore it.
3373,43,price,positive,,,,,Two words: Free wine.
3373,43,,,16,positive,wine,20,Two words: Free wine.
425,44,service,negative,,,,,The price is reasonable although the service is poor.
425,44,price,positive,,,,,The price is reasonable although the service is poor.
425,44,,,4,positive,price,9,The price is reasonable although the service is poor.
425,44,,,37,negative,service,44,The price is reasonable although the service is poor.
3192,45,food,positive,,,,,"The quantity is also very good, you will come out satisfied."
3192,45,,,4,positive,quantity,12,"The quantity is also very good, you will come out satisfied."
1098,46,anecdotes/miscellaneous,negative,,,,,I have been to Roth's twice and both times were very disappointing.
2173,47,anecdotes/miscellaneous,positive,,,,,Worth visiting the 1st Ave spot because it is the original store.
391,48,anecdotes/miscellaneous,neutral,,,,,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
391,48,,,118,neutral,sushi,123,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
391,48,,,146,neutral,sushi bar,155,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
263,49,ambience,positive,,,,,"Raga's is a romantic, cozy restaurant."
2384,50,food,positive,,,,,The fried rice is amazing here.
2384,50,,,4,positive,fried rice,14,The fried rice is amazing here.
2962,51,food,positive,,,,,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
2962,51,,,42,positive,mussels,49,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
2962,51,,,51,positive,puff pastry goat cheese,74,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
2962,51,,,79,positive,salad with a delicious dressing,110,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
2962,51,,,118,positive,hanger steak au poivre,140,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
2962,51,,,6,neutral,courses,13,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
3404,52,food,positive,,,,,it's a perfect place to have a amanzing indian food.
3404,52,,,40,positive,indian food,51,it's a perfect place to have a amanzing indian food.
2599,53,service,positive,,,,,The place is so cool and the service is prompt and curtious.
2599,53,ambience,positive,,,,,The place is so cool and the service is prompt and curtious.
2599,53,,,29,positive,service,36,The place is so cool and the service is prompt and curtious.
2599,53,,,4,positive,place,9,The place is so cool and the service is prompt and curtious.
673,54,food,positive,,,,,At the end you're left with a mild broth with noodles that you can slurp out of a cup.
673,54,,,35,positive,broth with noodles,53,At the end you're left with a mild broth with noodles that you can slurp out of a cup.
648,55,price,positive,,,,,I just wonder how you can have such a delicious meal for such little money.
648,55,food,positive,,,,,I just wonder how you can have such a delicious meal for such little money.
648,55,,,48,positive,meal,52,I just wonder how you can have such a delicious meal for such little money.
648,55,,,69,positive,money,74,I just wonder how you can have such a delicious meal for such little money.
863,56,food,conflict,,,,,The food was delicious but do not come here on a empty stomach.
863,56,,,4,conflict,food,8,The food was delicious but do not come here on a empty stomach.
1623,57,food,positive,,,,,The wine list is excellent.
1623,57,,,4,positive,wine list,13,The wine list is excellent.
2177,58,food,positive,,,,,so garantuan that you can't fit them in a toaster.
430,59,food,positive,,,,,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
430,59,,,84,positive,Thai food,93,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
1101,60,service,positive,,,,,They wouldnt even let me finish my glass of wine before offering another.
1101,60,,,35,neutral,glass of wine,48,They wouldnt even let me finish my glass of wine before offering another.
1823,61,anecdotes/miscellaneous,positive,,,,,I highly recommend the Sophia pizza.
324,62,service,negative,,,,,"Whem asked, we had to ask more detailed questions so that we knew what the specials were."
324,62,,,75,neutral,specials,83,"Whem asked, we had to ask more detailed questions so that we knew what the specials were."
2783,63,anecdotes/miscellaneous,positive,,,,,This is a consistently great place to dine for lunch or dinner.
2783,63,,,47,neutral,lunch,52,This is a consistently great place to dine for lunch or dinner.
2783,63,,,56,neutral,dinner,62,This is a consistently great place to dine for lunch or dinner.
2783,63,,,38,positive,dine,42,This is a consistently great place to dine for lunch or dinner.
2983,64,food,positive,,,,,"Nice atmosphere, the service was very pleasant and the desert was good."
2983,64,service,positive,,,,,"Nice atmosphere, the service was very pleasant and the desert was good."
2983,64,ambience,positive,,,,,"Nice atmosphere, the service was very pleasant and the desert was good."
2983,64,,,5,positive,atmosphere,15,"Nice atmosphere, the service was very pleasant and the desert was good."
2983,64,,,21,positive,service,28,"Nice atmosphere, the service was very pleasant and the desert was good."
2983,64,,,55,positive,desert,61,"Nice atmosphere, the service was very pleasant and the desert was good."
66,65,anecdotes/miscellaneous,positive,,,,,All the people that I bring there go back on their own and bring THEIR friends!
627,66,anecdotes/miscellaneous,positive,,,,,After really enjoying ourselves at the bar we sat down at a table and had dinner.
627,66,,,39,positive,bar,42,After really enjoying ourselves at the bar we sat down at a table and had dinner.
627,66,,,60,neutral,table,65,After really enjoying ourselves at the bar we sat down at a table and had dinner.
627,66,,,74,neutral,dinner,80,After really enjoying ourselves at the bar we sat down at a table and had dinner.
3219,67,food,positive,,,,,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
3219,67,service,positive,,,,,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
3219,67,ambience,positive,,,,,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
3219,67,,,9,positive,service,16,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
3219,67,,,28,positive,food,32,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
3219,67,,,52,positive,atmosphere,62,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
3219,67,,,67,positive,environment,78,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
2934,68,anecdotes/miscellaneous,negative,,,,,Not what I wanted to hear.
2787,69,food,positive,,,,,Try the lasagnette appetizer.
2787,69,,,8,positive,lasagnette appetizer,28,Try the lasagnette appetizer.
825,70,price,negative,,,,,"Pricey, but worth a try, at least once."
825,70,anecdotes/miscellaneous,positive,,,,,"Pricey, but worth a try, at least once."
197,71,anecdotes/miscellaneous,negative,,,,,"I've been there a few times, and I usually end up sitting next to some pretty odd people."
604,72,food,positive,,,,,I liked the beer selection!
604,72,,,12,positive,beer selection,26,I liked the beer selection!
2911,73,food,positive,,,,,"Great food, good size menu, great service and an unpretensious setting."
2911,73,service,positive,,,,,"Great food, good size menu, great service and an unpretensious setting."
2911,73,ambience,positive,,,,,"Great food, good size menu, great service and an unpretensious setting."
2911,73,,,6,positive,food,10,"Great food, good size menu, great service and an unpretensious setting."
2911,73,,,22,positive,menu,26,"Great food, good size menu, great service and an unpretensious setting."
2911,73,,,34,positive,service,41,"Great food, good size menu, great service and an unpretensious setting."
2911,73,,,63,positive,setting,70,"Great food, good size menu, great service and an unpretensious setting."
3074,74,anecdotes/miscellaneous,conflict,,,,,Go here for a romantic dinner but not for an all out wow dining experience.
3074,74,,,23,positive,dinner,29,Go here for a romantic dinner but not for an all out wow dining experience.
3074,74,,,57,positive,dining,63,Go here for a romantic dinner but not for an all out wow dining experience.
1479,75,anecdotes/miscellaneous,positive,,,,,Can't wait to go back.
1074,76,anecdotes/miscellaneous,neutral,,,,,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
1074,76,,,17,neutral,Dosa,21,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
912,77,food,positive,,,,,Wine list selection is good and wine-by-the-glass was generously filled to the top.
912,77,,,0,positive,Wine list selection,19,Wine list selection is good and wine-by-the-glass was generously filled to the top.
912,77,,,32,positive,wine-by-the-glass,49,Wine list selection is good and wine-by-the-glass was generously filled to the top.
728,78,food,positive,,,,,"With the great variety on the menu , I eat here often and never get bored ."
728,78,,,30,positive,menu,34,"With the great variety on the menu , I eat here often and never get bored ."
2925,79,food,negative,,,,,The menu is very limited - i think we counted 4 or 5 entrees.
2925,79,,,4,negative,menu,8,The menu is very limited - i think we counted 4 or 5 entrees.
2925,79,,,53,negative,entrees,60,The menu is very limited - i think we counted 4 or 5 entrees.
495,80,anecdotes/miscellaneous,positive,,,,,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been."
3436,81,food,conflict,,,,,The menu is limited but almost all of the dishes are excellent.
3436,81,,,4,negative,menu,8,The menu is limited but almost all of the dishes are excellent.
3436,81,,,42,positive,dishes,48,The menu is limited but almost all of the dishes are excellent.
3273,82,food,negative,,,,,Not too crazy about their sake martini.
3273,82,,,26,negative,sake martini,38,Not too crazy about their sake martini.
1215,83,food,positive,,,,,"Great bagels, spreads and a good place to hang out in."
1215,83,anecdotes/miscellaneous,positive,,,,,"Great bagels, spreads and a good place to hang out in."
1215,83,,,6,positive,bagels,12,"Great bagels, spreads and a good place to hang out in."
1215,83,,,14,positive,spreads,21,"Great bagels, spreads and a good place to hang out in."
183,84,service,conflict,,,,,"The service varys from day to day- sometimes they're very nice, and sometimes not."
183,84,,,4,conflict,service,11,"The service varys from day to day- sometimes they're very nice, and sometimes not."
2511,85,ambience,positive,,,,,"whoever the jazz duo was, they were on POINT."
282,86,service,positive,,,,,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.
282,86,,,90,neutral,table,95,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.
1562,87,price,positive,,,,,This place is a great bargain.
1712,88,anecdotes/miscellaneous,positive,,,,,We happened upon this place purely by accident and were pleased with the results.
3249,89,food,positive,,,,,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
3249,89,anecdotes/miscellaneous,negative,,,,,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
3249,89,,,19,positive,food,23,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
2052,90,anecdotes/miscellaneous,positive,,,,,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.
3207,91,food,positive,,,,,We always have a delicious meal and always leave feeling satisfied.
3207,91,,,27,positive,meal,31,We always have a delicious meal and always leave feeling satisfied.
672,92,food,neutral,,,,,"Dip the ingredients in with your chopsticks, swirl them around, and eat."
672,92,,,8,neutral,ingredients,19,"Dip the ingredients in with your chopsticks, swirl them around, and eat."
672,92,,,33,neutral,chopsticks,43,"Dip the ingredients in with your chopsticks, swirl them around, and eat."
2972,93,ambience,positive,,,,,First went here to enjoy their garden terrace.
2972,93,,,31,positive,garden terrace,45,First went here to enjoy their garden terrace.
1903,94,food,conflict,,,,,"My husbands was perfect, my was well done and dry."
2549,95,service,positive,,,,,"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer."
1755,96,food,positive,,,,,The pizza was pretty good and huge.
1755,96,,,4,positive,pizza,9,The pizza was pretty good and huge.
2890,97,anecdotes/miscellaneous,positive,,,,,Sapphire is the only Indian restaurant I go to when I'm in NYC.
2277,98,food,neutral,,,,,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei."
2277,98,,,4,neutral,cuisine,11,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei."
2308,99,anecdotes/miscellaneous,positive,,,,,I heartily recommend.
51,100,anecdotes/miscellaneous,positive,,,,,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.
3680,101,ambience,positive,,,,,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.
3680,101,,,50,positive,atmosphere,60,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.
3155,102,service,positive,,,,,They are often crowded on the weekends but they are efficient and accurate with their service.
3155,102,ambience,negative,,,,,They are often crowded on the weekends but they are efficient and accurate with their service.
3155,102,,,86,positive,service,93,They are often crowded on the weekends but they are efficient and accurate with their service.
3155,102,,,15,negative,crowded,22,They are often crowded on the weekends but they are efficient and accurate with their service.
1688,103,food,negative,,,,,All my co-workers were amazed at how small the dish was.
1688,103,,,47,negative,dish,51,All my co-workers were amazed at how small the dish was.
598,104,food,positive,,,,,"The atmosphere is unheralded, the service impecible, and the food magnificant."
598,104,service,positive,,,,,"The atmosphere is unheralded, the service impecible, and the food magnificant."
598,104,ambience,positive,,,,,"The atmosphere is unheralded, the service impecible, and the food magnificant."
598,104,,,4,positive,atmosphere,14,"The atmosphere is unheralded, the service impecible, and the food magnificant."
598,104,,,34,positive,service,41,"The atmosphere is unheralded, the service impecible, and the food magnificant."
598,104,,,61,positive,food,65,"The atmosphere is unheralded, the service impecible, and the food magnificant."
2926,105,food,negative,,,,,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat."
2926,105,,,24,negative,grilled branzino,40,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat."
3083,106,food,positive,,,,,"The wait staff is friendly, and the food has gotten better and better!"
3083,106,service,positive,,,,,"The wait staff is friendly, and the food has gotten better and better!"
3083,106,,,4,positive,wait staff,14,"The wait staff is friendly, and the food has gotten better and better!"
3083,106,,,36,positive,food,40,"The wait staff is friendly, and the food has gotten better and better!"
1388,107,anecdotes/miscellaneous,positive,,,,,"This place, which is only a few months old, is perhaps Queens' biggest secret!"
2977,108,food,positive,,,,,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
2977,108,ambience,conflict,,,,,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
2977,108,,,44,positive,vibe,48,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
2977,108,,,76,positive,French food,87,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
2977,108,,,16,negative,packed,22,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
1574,109,anecdotes/miscellaneous,positive,,,,,This place is so much fun.
498,110,anecdotes/miscellaneous,positive,,,,,I was glad I did.
2604,111,food,positive,,,,,Right off the L in Brooklyn this is a nice cozy place with good pizza.
2604,111,ambience,positive,,,,,Right off the L in Brooklyn this is a nice cozy place with good pizza.
2604,111,,,64,positive,pizza,69,Right off the L in Brooklyn this is a nice cozy place with good pizza.
2604,111,,,48,positive,place,53,Right off the L in Brooklyn this is a nice cozy place with good pizza.
473,112,service,negative,,,,,I've never been treated so rudely.
380,113,anecdotes/miscellaneous,positive,,,,,I'll be back soon.
2960,114,food,positive,,,,,Le Pere Pinard has a $15 pre-theater menu that is outstanding.
2960,114,,,25,positive,pre-theater menu,41,Le Pere Pinard has a $15 pre-theater menu that is outstanding.
322,115,anecdotes/miscellaneous,positive,,,,,Went inside and I started to get excited.
1383,116,service,negative,,,,,I also ordered for delivery and the restaurant forgot half the order.
1383,116,,,19,negative,delivery,27,I also ordered for delivery and the restaurant forgot half the order.
1383,116,,,63,negative,order,68,I also ordered for delivery and the restaurant forgot half the order.
892,117,service,negative,,,,,Our server checked on us maybe twice during the entire meal.
892,117,,,4,negative,server,10,Our server checked on us maybe twice during the entire meal.
892,117,,,55,neutral,meal,59,Our server checked on us maybe twice during the entire meal.
2296,118,anecdotes/miscellaneous,positive,,,,,"However, it is jus too good to not praise it."
868,119,anecdotes/miscellaneous,positive,,,,,We have been to Montparnasse many times and return often for good reason.
2936,120,anecdotes/miscellaneous,negative,,,,,The strong scents coming from the left and right of me negatively affected my taste buds.
2936,120,,,11,negative,scents,17,The strong scents coming from the left and right of me negatively affected my taste buds.
3423,121,food,positive,,,,,We had the lobster sandwich and it was FANTASTIC.
3423,121,,,11,positive,lobster sandwich,27,We had the lobster sandwich and it was FANTASTIC.
154,122,anecdotes/miscellaneous,positive,,,,,It's somewhere you can eat and be happy.
591,123,anecdotes/miscellaneous,positive,,,,,"If you wrote a bad review, it's because you don't understand what Rao's is all about."
1197,124,service,negative,,,,,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!"
1197,124,,,143,negative,check,148,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!"
2061,125,anecdotes/miscellaneous,positive,,,,,but overall i give it a 10
2274,126,food,positive,,,,,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
2274,126,price,positive,,,,,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
2274,126,,,11,conflict,Spider Roll,22,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
2274,126,,,124,positive,price,129,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
2274,126,,,67,positive,shell crab,77,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
2804,127,food,positive,,,,,Deep Fried Skewers are good and still rare to find in NYC.
2804,127,,,0,positive,Deep Fried Skewers,18,Deep Fried Skewers are good and still rare to find in NYC.
194,128,service,negative,,,,,"I have tried to make reservations, but both times, the hostess didn't have my name."
